# --- KRAJE I KSIĘSTWA RUSKIE (DOPEŁNIACZOWE) ---
MOS;Moskwa;MOS_DOP;Moskwy
YGS;Yǒngshùn;YGS_DOP;Yongshun
BJG;Bǎojìng;BJG_DOP;Baojing
YYG;Yǒuyáng;YYG_DOP;Youyang
PCD;Píngchádòng;PCD_DOP;Pingchadong
SZH;Sīzhōu;SZH_DOP;Sizhou
YNH;Yánhé;YNH_DOP;Yanhe
TXI;Tíxī;TXI_DOP;Tixi
TGR;Tóngrén;TGR_DOP;Tongren
QGS;Qióngshuǐ;QGS_DOP;Qiongshui
WZH;Wǔzhài;WZH_DOP;Wuzhai
PTZ;Píngtóuzhekě;PTZ_DOP;Pingtouzheke
LGQ;Lóngquán;LGQ_DOP;Longquan
RGS;Rongshan;RGS_DOP;Rongshan
BNI;Báiní;BNI_DOP;Baini
COG;Cǎotáng;COG_DOP;Caotang
XNL;Xinlong;XNL_DOP;Xinlong
ALI;Kǎilǐ;ALI_DOP;Kaili
SDG;Shǔidōng;SDG_DOP;Shuidong
PYE;Píngyuè;PYE_DOP;Pingyue
DZH;Dǐzhài;DZH_DOP;Dizhai
XNG;Xianning;XNG_DOP;Xianning
PDG;Píngdìng;PDG_DOP;Pingding
PDN;Pǔdìng;PDN_DOP;Puding
PGB;Píngbà;PGB_DOP;Pingba
PAN;Pǔ’ān;PAN_DOP;Pu'an
YNN;Yongning;YNN_DOP;Yongning
LIN;Lai’an;LIN_DOP;Lai'an
NLG;Ānlóng;NLG_DOP;Anlong
SHG;Shanglin;SHG_DOP;Shanglin
QYN;Qìngyuǎn;QYN_DOP;Qingyuan
NDN;Nándān;NDN_DOP;Nandan
DLN;Dōnglán;DLN_DOP;Donglan
XCG;Xīnchéng;XCG_DOP;Xincheng
YSN;Yǒngshùn Zhuang;YSN_DOP;Yongshun Zhuang
TNZ;Tiánzhōu;TNZ_DOP;Tianzhou
ADG;Āndìng;ADG_DOP;Anding
DYG;Dǔyáng;DYG_DOP;Duyang
ZNN;Zhèn’ān;ZNN_DOP;Zhen'an
TPG;Tàipíng;TPG_DOP;Taiping
SMG;Sīmíng;SMG_DOP;Siming
SGS;Shàngsī;SGS_DOP;Shangsi
GNN;Guǎngnán;GNN_DOP;Guangnan
LZO;Luózuǒ;LZO_DOP;Luozuo
FZH;Xùzhōu;FZH_DOP;Xuzhou
LZI;Lianghzai;LZI_DOP;Lianghzai
SZI;Shezi;SZI_DOP;Shezi
DYN;Dūyún;DYN_DOP;Duyun
LTU;Làntǔ;LTU_DOP;Lantu
GZH;Jǔzhōu;GZH_DOP;Juzhou
LPG;Lípíng;LPG_DOP;Liping
ZLD;Zhonglindong;ZLD_DOP;Zhonglindong
HZH;Tóngzhōu;HZH_DOP;Tongzhou
XSY;Xīshānyáng;XSY_DOP;Xishanyang
LNG;Liáng;LNG_DOP;Liang
CDL;Dali;CDL_DOP;Dali
CHH;Chiang Hung;CHH_DOP;Chiang Hung
JAP;Japonia;JAP_DOP;Japonii
NTC;Jimyōin;NTC_DOP;Jimyoinu
STC;Daikakuji;STC_DOP;Daikakuji
YMT;Yamato;YMT_DOP;Yamato
KOU;Kō;KOU_DOP;Ko
HSK;Hosokawa;HSK_DOP;Hosokawy
AKM;Akamatsu;AKM_DOP;Akamatsu
NKI;Nitsuki;NKI_DOP;Nitsukiego
KTB;Kitabatake;KTB_DOP;Kitabatake
CJO;Chūjō;CJO_DOP;Chujo
IMG;Imagawa;IMG_DOP;Imagawy
ISD;Ishidō;ISD_DOP;Ishido
TKD;Takeda;TKD_DOP;Takedy
SBA;Shiba;SBA_DOP;Shiby
CBA;Chiba;CBA_DOP;Chiby
STK;Satake;STK_DOP;Satake
KGK;Kyōgoku;KGK_DOP;Kyogoku
TKI;Toki;TKI_DOP;Tokiego
OGS;Ogasawara;OGS_DOP;Ogasawary
UES;Uesugi;UES_DOP;Uesugiego
OYM;Oyama;OYM_DOP;Oyamy
TGS;Togashi;TGS_DOP;Togashiego
YSM;Yoshimi;YSM_DOP;Yoshimiego
MMI;Momonoi;MMI_DOP;Momonoi
KRA;Kira;KRA_DOP;Kiry
YMN;Yamana;YMN_DOP;Yamany
ENY;En’ya;ENY_DOP;Enya
UEN;Ueno;UEN_DOP;Ueno
MTD;Matsuda;MTD_DOP;Matsudy
MNM;Minami;MNM_DOP;Minamiego
ASY;Asayama;ASY_DOP;Asayamy
WSZ;Washizu;WSZ_DOP;Washizu
KTO;Kotō;KTO_DOP;Koto
HTK;Hatakeyama;HTK_DOP;Hatakeyamy
KNO;Kawano;KNO_DOP;Kawano
SHN;Shōni;SHN_DOP;Shoniego
KII;Kii;KII_DOP;Kii
OTM;Ōtomo;OTM_DOP;Otomo
SMZ;Shimazu;SMZ_DOP;Shimazu
NBU;Nanbu;NBU_DOP;Nanbu
KDO;Kudō;KDO_DOP;Kudo
OKI;Ōsaki;OKI_DOP;Osakiego
MGM;Mogami;MGM_DOP;Mogamiego
KSI;Kasai;KSI_DOP;Kasaiego
SOM;Sōma;SOM_DOP;Somy
DTE;Date;DTE_DOP;Date
ASN;Ashina;ASN_DOP;Ashiny
YUK;Yūki;YUK_DOP;Yuki
OID;Ōida;OID_DOP;Oidy
OGU;Oguni;OGU_DOP;Oguniego
UTN;Utsunomiya;UTN_DOP;Utsunomiyi
IIX;Ii;IIX_DOP;Ii
AKJ;Anenokōji;AKJ_DOP;Anenokoji
KSN;Kusunoki;KSN_DOP;Kusunokiego
ISK;Isshiki;ISK_DOP;Isshikiego
NAW;Nawa;NAW_DOP;Nawy
MSD;Masuda;MSD_DOP;Masudy
OUC;Ōuchi;OUC_DOP;Ouchi
TKN;Tokunō;TKN_DOP;Tokuno
DOI;Doi;DOI_DOP;Doi
KNT;Kutsuna;KNT_DOP;Kutsuny
SHJ;Shijō;SHJ_DOP;Shidżo
YSR;Yamashiro;YSR_DOP;Yamashiro
KKC;Kikuchi;KKC_DOP;Kikuchiego
ASO;Aso;ASO_DOP;Aso
SGR;Sagara;SGR_DOP;Sagary
IJU;Ijūin;IJU_DOP;Ijuina
KMT;Kimotsuki;KMT_DOP;Kimotsukiego
SOU;Sō;SOU_DOP;So
NAI;Nagai;NAI_DOP;Nagaiego
HEI;Hei;HEI_DOP;Hei
ANM;Asonuma;ANM_DOP;Asonumy
TZW;Tozawa;TZW_DOP;Tozawy
WAG;Waga;WAG_DOP;Wagi
HIE;Hienuki;HIE_DOP;Hienukiego
SGE;Sagae;SGE_DOP;Sagae
DHJ;Daihōji;DHJ_DOP;Daihoji
NGM;Naganuma;NGM_DOP;Naganumy
NKD;Nikaidō;NKD_DOP;Nikaido
TMR;Tamura;TMR_DOP;Tamury
IWS;Inawashiro;IWS_DOP;Inawashiro
ISW;Ishikawa;ISW_DOP;Ishikawy
MIU;Miura;MIU_DOP;Miury
SUW;Suwa;SUW_DOP;Suwy
RKK;Rokkaku;RKK_DOP;Rokkakiego
MIY;Miya;MIY_DOP;Miyi
KKW;Kikkawa;KKW_DOP;Kikkawy
MKT;Munakata;MKT_DOP;Munakaty
ASA;Asakura;ASA_DOP;Asakury
CSK;Chōsokabe;CSK_DOP;Chosokabe
ISE;Ise;ISE_DOP;Ise
IKE;Ikeda;IKE_DOP;Ikedy
ITO;Itō;ITO_DOP;Ito
MRI;Mōri;MRI_DOP;Moriego
ODA;Oda;ODA_DOP;Ody
AKT;Andō;AKT_DOP;Ando
ISA;Isa;ISA_DOP;Isy
TAK;Daijō;TAK_DOP;Daijo
KNB;Kawanobe;KNB_DOP;Kawanobe
HTA;Hatta;HTA_DOP;Hatty
MKO;Mashiko;MKO_DOP;Mashiko
TKO;Takō;TKO_DOP;Tako
NAS;Nasu;NAS_DOP;Nasu
OGO;Ōgo;OGO_DOP;Ogo
NIT;Nitta;NIT_DOP;Nitty
YMG;Yamaguchi;YMG_DOP;Yamaguchi
TOS;Toshima;TOS_DOP;Toshimy
HNM;Honma;HNM_DOP;Honmy
UNN;Unnō;UNN_DOP;Unno
KOK;Kōsaka;KOK_DOP;Kosaki
TOY;Tōyama;TOY_DOP;Toyamy
HIG;Tō;HIG_DOP;To
EMA;Ema;EMA_DOP;Emy
NKJ;Nakajima;NKJ_DOP;Nakajimy
OBA;Ōba;OBA_DOP;Oby
NGN;Nagano;NGN_DOP;Nagano
TKM;Takashima;TKM_DOP;Takashimy
AIS;Aisu;AIS_DOP;Aisu
YUS;Yuasa;YUS_DOP;Yuasy
YAB;Yabe;YAB_DOP;Yabe
OGA;Ogamo;OGA_DOP;Ogamo
STU;Suetsugu;STU_DOP;Suetsugu
MZW;Mizawa;MZW_DOP;Mizawy
MTY;Mitoya;MTY_DOP;Mitoyi
AKN;Akana;AKN_DOP;Akany
GTO;Gotō;GTO_DOP;Goto
SHO;Shō;SHO_DOP;Sho
HRG;Hiraga;HRG_DOP;Hiragi
KBK;Kobayakawa;KBK_DOP;Kobayakawy
WCH;Wachi;WCH_DOP;Wachi
MYH;Miyoshi;MYH_DOP;Miyoshiego
SUE;Sue;SUE_DOP;Sue
MIG;Migita;MIG_DOP;Migity
KAG;Kagawa;KAG_DOP;Kagawy
KOZ;Kōzai;KOZ_DOP;Kozai
KNE;Kaneko;KNE_DOP;Kaneko
AKI;Aki;AKI_DOP;Aki
OHR;Ōhira;OHR_DOP;Ohiry
BZG;Buzen Nagano;BZG_DOP;Buzen Nagano
AKZ;Akizuki;AKZ_DOP;Akizukiego
AKU;Taku;AKU_DOP;Taku
AHT;Hata;AHT_DOP;Haty
ARI;Arima;ARI_DOP;Arimy
OKR;Ōkura;OKR_DOP;Okury
TMD;Tsuchimochi;TMD_DOP;Tsuchimochi
KJK;Kajiki;KJK_DOP;Kajiki
HSR;Hishikari;HSR_DOP;Hishikari
ASK;Ashikaga;ASK_DOP;Ashikagi
ANU;Ajnowie;ANU_DOP;Ajnowów
HKZ;Hokuzan;HKZ_DOP;Hokuzanu
CHZ;Chūzan;CHZ_DOP;Chuzanu
NZN;Nanzan;NZN_DOP;Nanzanu
RYU;Ryūkyū;RYU_DOP;Ryukyu
MGG;Mangyül Gungthang;MGG_DOP;Gungthangu
POO;Powo;POO_DOP;Powo
HOR;Hor;HOR_DOP;Horpa
LGT;Lingtsang;LGT_DOP;Lingtsangu
DRG;Derge;DRG_DOP;Derge
NCN;Nangchen;NCN_DOP;Nangchenu
GNJ;Gonjo;GNJ_DOP;Gondżo
BTG;Batang;BTG_DOP;Batangu
NBH;Nubhor;NBH_DOP;Nubhoru
LTN;Litang;LTN_DOP;Litangu
NYA;Nyarong;NYA_DOP;Nyarongu
GYT;Gyelthang;GYT_DOP;Gyelthangu
KRL;Karelia;KRL_DOP;Karelii
TAV;Häme;TAV_DOP;Häme
BJA;Biarmia;BJA_DOP;Biarmii
KVE;Kwenlandia;KVE_DOP;Kwenlandii
SVO;Sawonia;SVO_DOP;Sawonii
FIN;Finlandia;FIN_DOP;Finlandii
BIO;Ozylia;BIO_DOP;Ozylii
KUR;Kurlandia;KUR_DOP;Kurlandii
BID;Dorpat;BID_DOP;Dorpatu

NEO;Neopatria;NEO_DOP;Neopatrii
BOD;Bodonitsa;BOD_DOP;Bodonitsy
ARG;Argos;ARG_DOP;Argos
CRT;Kandia;CRT_DOP;Kandii
NEG;Negroponte;NEG_DOP;Negroponte
SAO;Salona;SAO_DOP;Salony
CAR;Kraina;CAR_DOP;Krainy
GOR;Gorycja;GOR_DOP;Gorycji
TRO;Trawunia;TRO_DOP;Trawunii
SKE;Skania;SKE_DOP;Skanii
SMI;Laponia;SMI_DOP;Laponii

WDE;Waldeck;WDE_DOP;Waldecku
RBG;Rietberg;RBG_DOP;Rietberga
NSW;Nassau-Weilburg;NSW_DOP;Nassau-Weilburga
NSI;Nassau-Idstein;NSI_DOP;Nassau-Idsteina
NSH;Nassau-Hadamar;NSH_DOP;Nassau-Hadamaru
NSS;Nassau-Siegen;NSS_DOP;Nassau-Siegena
NSD;Nassau-Dillenburg;NSD_DOP;Nassau-Dillenburga
RDL;Riedesel;RDL_DOP;Riedesel
NID;Nidda;NID_DOP;Niddy
MDS;Manderscheid;MDS_DOP;Manderscheid
PSZ;Simmern;PSZ_DOP;Simmern
LIC;Lichtenberg;LIC_DOP;Lichtenberga
LEU;Leuchtenberg;LEU_DOP;Leuchtenberga
EVS;Everstein;EVS_DOP;Eversteina
FUR;Fürstenberg;FUR_DOP;Fürstenberga
GRK;Gurk;GRK_DOP;Gurk
SAB;Szumirad;SAB_DOP;Szumiradu
THD;Truhendingen;THD_DOP;Truhendingen
WIE;Wied;WIE_DOP;Wied
ELL;Ellwangen;ELL_DOP;Ellwangen
HLF;Helfenstein;HLF_DOP;Helfensteina
HOH;Hohenzollern;HOH_DOP;Hohenzollern
KIR;Kirchberg;KIR_DOP;Kirchberga
NEL;Nellenburg;NEL_DOP;Nellenburga
TUB;Tybinga;TUB_DOP;Tybingi
RVB;Ravensberg;RVB_DOP;Ravensberga
TCK;Tecklenburg;TCK_DOP;Tecklenburga
BNT;Bentheim;BNT_DOP;Bentheimu
NWG;Nowogard;NWG_DOP;Nowogardu
LAU;Księstwo Saksonii-Lauenburga;LAU_DOP;Księstwa Saksonii-Lauenburga
MFE;Mansfeld;MFE_DOP;Mansfeldu
MRB;Merseburg;MRB_DOP;Merseburga
NMB;Naumburg;NMB_DOP;Naumburga
QUB;Gera;QUB_DOP;Gery
SWZ;Schwarzburg;SWZ_DOP;Schwarzburga
SHS;Sondershausen;SHS_DOP;Sondershausen
HSF;Hersfeld;HSF_DOP;Hersfeldu
PDB;Paderborn;PDB_DOP;Paderbornu
APR;Prüm;APR_DOP;Prüm
ZIG;Ziegenhain;ZIG_DOP;Ziegenhain
ERB;Erbach;ERB_DOP;Erbach
LNN;Leiningen;LNN_DOP;Leiningen
ZUT;Zutphen;ZUT_DOP;Zutphen
WTG;Wittgenstein;WTG_DOP;Wittgensteina
ANB;Arnsberg;ANB_DOP;Arnsberga
LPP;Lippe;LPP_DOP;Lippe
GBH;Grubenhagen;GBH_DOP;Grubenhagen
SCB;Schauenburg;SCB_DOP;Schauenburga
NIE;Nienburg;NIE_DOP;Nienburga
DPH;Diepholz;DPH_DOP;Diepholz
RTB;Ritzebüttel;RTB_DOP;Ritzebüttel
LOO;Loon;LOO_DOP;Loon
HBG;Heinsberg;HBG_DOP;Heinsberga
VBG;Valkenburg;VBG_DOP;Valkenburga
HRN;Horn;HRN_DOP;Horna
CJK;Cuijk;CJK_DOP;Cuijk
CAM;Cambrésis;CAM_DOP;Cambrésis

FEZ;Fez;FEZ_DOP;Fezu
MRK;Marakesz;MRK_DOP;Marakeszu
TET;Tétouan;TET_DOP;Tetuanu
SLE;Sala;SLE_DOP;Sali
TFL;Tafilalt;TFL_DOP;Tafilaltu
SOS;Sus;SOS_DOP;Sus
TLE;Tilimsan;TLE_DOP;Tilimsanu
ALG;Algier;ALG_DOP;Algieru
TGT;Tuggurt;TGT_DOP;Tuggurtu
KUK;Kuku;KUK_DOP;Kuku
AIT;Ait Abbas;AIT_DOP;Ait Abbas
MZB;Mzab;MZB_DOP;Mzabu
TUN;Tunis;TUN_DOP;Tunisu
DJE;Dżerid;DJE_DOP;Dżeridu
GFS;Kafsa;GFS_DOP;Kafsy
GBS;Kabis;GBS_DOP;Kabisu
BTL;Tellīs;BTL_DOP;Tellisu
ZAB;Zab;ZAB_DOP;Zabu
OGL;Warkala;OGL_DOP;Warkali
TAT;Tuat;TAT_DOP;Tuatu
JOL;Dżolof;JOL_DOP;Dżolof
FUL;Wielkie Fulo;FUL_DOP;Wielkiego Fulo
MSI;Mossi;MSI_DOP;Mossi
MPR;Mamprugu;MPR_DOP;Mamprugu
DGB;Dagomba;DGB_DOP;Dagomby
KNG;Kong;KNG_DOP;Kongu
BON;Bono;BON_DOP;Bono
GYA;Gyaaman;GYA_DOP;Gyaamanu
MNK;Mankessim;MNK_DOP;Mankessim
ZZZ;Zazzau;ZZZ_DOP;Zazzau
NUP;Nupe;NUP_DOP;Nupe
BEN;Benin;BEN_DOP;Beninu
OYO;Oyo;OYO_DOP;Oyo
IFE;Ife;IFE_DOP;Ife
OWO;Owo;OWO_DOP;Owo
IJB;Ijebu;IJB_DOP;Ijebu
ISO;Isedo;ISO_DOP;Isedo
IYA;Ila Yara;IYA_DOP;Ila Yara
OKE;Oke-Ila;OKE_DOP;Oke-Ila
IJE;Ijero;IJE_DOP;Ijero
ADO;Ado;ADO_DOP;Ado
IJS;Ijesha;IJS_DOP;Ijesha
AKR;Akure;AKR_DOP;Akure
OND;Ondo;OND_DOP;Ondo
AWO;Awori;AWO_DOP;Awori
KET;Ketu;KET_DOP;Ketu
NRI;Nri;NRI_DOP;Nri
KAB;Kaabu;KAB_DOP;Kaabu
DAM;Damot;DAM_DOP;Damotu
DBE;Doba;DBE_DOP;Doby
END;Enderta;END_DOP;Enderty
ENN;Ennarea;ENN_DOP;Ennarea
WNA;Wanga;WNA_DOP;Wangi
HRL;Harla;HRL_DOP;Harly
GJJ;Godżam;GJJ_DOP;Godżamu
MED;Medri Bahri;MED_DOP;Medri Bahri
BTI;Semien;BTI_DOP;Semienu
ABB;Arbabni;ABB_DOP;Arbabni
ADA;Adal;ADA_DOP;Adalu
AFA;Dankali;AFA_DOP;Dankali
AWS;Aussa;AWS_DOP;Aussy
BLE;Bale;BLE_DOP;Bale
DAW;Dawaro;DAW_DOP;Dawaro
DHK;Dahlak;DHK_DOP;Dahlaku
HDY;Hadija;HDY_DOP;Hadiji
IFA;Ifat;IFA_DOP;Ifatu
SHK;Sharkha;SHK_DOP;Sharkhy
SOA;Szewa;SOA_DOP;Szewy
AJU;Ajuran;AJU_DOP;Ajuranu
GLE;Geledi;GLE_DOP;Geledi
MDI;Mogadiszu;MDI_DOP;Mogadiszu
WAR;Warsangali;WAR_DOP;Warsangali
ABW;Al-Abwab;ABW_DOP;Al-Abwab
ALO;Alodia;ALO_DOP;Alodii
BEJ;Beja;BEJ_DOP;Beja
BQL;Baqlin;BQL_DOP;Baqlin
BZN;Bazin;BZN_DOP;Bazin
DON;Dongola;DON_DOP;Dongoli
JRN;Jarin;JRN_DOP;Jarinu
MAK;Makuria;MAK_DOP;Makurii
NQS;Naqis;NQS_DOP;Naqis
QTA;Qata;QTA_DOP;Qaty
DAJ;Daju;DAJ_DOP;Daju
AFR;Afre;AFR_DOP;Afre
SDQ;Sadaqa;SDQ_DOP;Sadaqa
ORO;Oromo;ORO_DOP;Oromo
FNJ;Berta;FNJ_DOP;Berta
GUM;Gumuz;GUM_DOP;Gumuz
KUN;Kunama;KUN_DOP;Kunam
BQA;Barqa;BQA_DOP;Barqa
BKZ;Banu Kanz;BKZ_DOP;Banu Kanz
SKN;Sawakin;SKN_DOP;Sawakinu
BMR;Bambara;BMR_DOP;Bambary
KBR;Kabura;KBR_DOP;Kabury
ZGH;Zagha;ZGH_DOP;Zagha
BBK;Bambuk;BBK_DOP;Bambuku
TFK;Tirafka;TFK_DOP;Tirafki
DFN;Diafunu;DFN_DOP;Diafunu
GHA;Ghana;GHA_DOP;Ghany
TMK;Tadmekka;TMK_DOP;Tadmekki
TRG;Tuareg;TRG_DOP;Tuaregu
BOR;Borgu;BOR_DOP;Borgu
GUR;Fada N’gourma;GUR_DOP;Fada N'gourma
YAT;Yatenga;YAT_DOP;Yatengi
OUA;Wagadugu;OUA_DOP;Wagadugu
GWI;Gwiriko;GWI_DOP;Gwiriko
LIP;Liptako;LIP_DOP;Liptako
TEN;Tenkodogo;TEN_DOP;Tenkodogo
BSM;Boussouma;BSM_DOP;Boussouma
KAN;Kano;KAN_DOP;Kano
KTS;Katsina;KTS_DOP;Katsiny
ZAM;Zamfara;ZAM_DOP;Zamfary
KEB;Kebbi;KEB_DOP;Kebbi
RAN;Rano;RAN_DOP;Rano
GOB;Gobir;GOB_DOP;Gobiru
DAA;Daura;DAA_DOP;Daufy
BNU;Bornu;BNU_DOP;Bornu
YAO;Bilala;YAO_DOP;Bilala
KOT;Sao;KOT_DOP;Sao
BGI;Bagirmi;BGI_DOP;Bagirmi
MDR;Mandara;MDR_DOP;Mandary
ZGW;Zaghawa;ZGW_DOP;Zaghawa
TMB;Timbuktu;TMB_DOP;Timbuktu
WAD;Wadai;WAD_DOP;Wadai
AIR;Aïr;AIR_DOP;Aïr
PTE;Pate;PTE_DOP;Pate
MLI;Malindi;MLI_DOP;Malindi
INH;Inhambane;INH_DOP;Inhambane
SFA;Sofala;SFA_DOP;Sofali
MBA;Mombasa;MBA_DOP;Mombasy
GED;Gedi;GED_DOP;Gedi
UGW;Ungwana;UGW_DOP;Ungwany
LAM;Lamu;LAM_DOP;Lamu
VOH;Vohemar;VOH_DOP;Vohemaru
NYM;Boeny;NYM_DOP;Boeny
VIL;Vili;VIL_DOP;Vili
CBD;Kabinda;CBD_DOP;Kabindy
TKE;Bateke;TKE_DOP;Bateke
ABD;Ambundu;ABD_DOP;Ambundu
YAK;Yaka;YAK_DOP;Yaka
CEW;Chewa;CEW_DOP;Chewa
PEM;Pemba;PEM_DOP;Pemby
ZZB;Zanzibar;ZZB_DOP;Zanzibaru
BMB;Bambao;BMB_DOP;Bambao
MOZ;Mozambik;MOZ_DOP;Mozambiku
AGH;Angoche;AGH_DOP;Angoche
QLM;Quelimane;QLM_DOP;Quelimane
TBK;Tumbuka;TBK_DOP;Tumbuka
MRA;Maravi;MRA_DOP;Maravi
LDU;Lundu;LDU_DOP;Lundu
MKU;Makua;MKU_DOP;Makua
VAZ;Vazimba;VAZ_DOP;Vazimba
IRD;Irodo;IRD_DOP;Irodo
NTL;Mahajangā;NTL_DOP;Mahajangā
BMK;Bemanevika;BMK_DOP;Bemaneviki
MTO;Maintirano;MTO_DOP;Maintirano
MBD;Manabondro;MBD_DOP;Manabondro
AHY;Antsohihy;AHY_DOP;Antsohihy
ABV;Ambovontany;ABV_DOP;Ambovontany
MHL;Mahilaka;MHL_DOP;Mahilaki
ZFI;Vohipeno;ZFI_DOP;Vohipeno
BTS;Betsimisaraka;BTS_DOP;Betsimisaraka
VEZ;Vezo;VEZ_DOP;Vezo
SKA;Sakalawa;SKA_DOP;Sakalawy
MNB;Menabe;MNB_DOP;Menabe
BOI;Boina;BOI_DOP;Boiny
MIR;Imerina;MIR_DOP;Imeriny
ANK;Antankarana;ANK_DOP;Antankarany
BEZ;Bezanozano;BEZ_DOP;Bezanozano
SIH;Sihanaka;SIH_DOP;Sihanaky
TND;Tandroy;TND_DOP;Tandroy
ATK;Antesaka;ATK_DOP;Antesaka
BAA;Bara;BAA_DOP;Bara
ATM;Antemoro;ATM_DOP;Antemoro
ATF;Antaifasy;ATF_DOP;Antaifasy
ATB;Antambahoaka;ATB_DOP;Antambahoaka
TAL;Tanala;TAL_DOP;Tanala
BET;Betsileo;BET_DOP;Betsileo
BUG;Buganda;BUG_DOP;Bugandy
BSG;Busoga;BSG_DOP;Busogi
NKO;Nkore;NKO_DOP;Nkore
RWA;Rwanda;RWA_DOP;Rwandy
KRW;Karagwe;KRW_DOP;Karagwe
UBH;Buha;UBH_DOP;Buha
BUU;Burundi;BUU_DOP;Burundi
MAA;Masaj;MAA_DOP;Masajów
SKO;Sokoto;SKO_DOP;Sokoto
HAU;Hausa;HAU_DOP;Hausa
KON;Kongo;KON_DOP;Kongo
XHO;Xhosa;XHO_DOP;Xhosa
NGU;Nguni;NGU_DOP;Nguni
TWA;Tswana;TWA_DOP;Tswana
SOT;Soto;SOT_DOP;Soto
VED;Venda;VED_DOP;Venda
KLG;Kalanga;KLG_DOP;Kalangi
TNA;Tonga;TNA_DOP;Tonga
SEN;Sena;SEN_DOP;Sena
TSG;Tsonga;TSG_DOP;Tsonga
MNY;Ndau;MNY_DOP;Ndau
ZEZ;Zezuru;ZEZ_DOP;Zezuru
NBY;Nambya;NBY_DOP;Nambya

QTO;Quito;QTO_DOP;Quito
CHM;Chimu;CHM_DOP;Chimu
XLL;Xllang;XLL_DOP;Xllang
CYA;Sacha-p-qulla;CYA_DOP;Sacha-p-qulla
TLN;Tallan;TLN_DOP;Tallan
ICM;Ichma;ICM_DOP;Ichma
HRC;Huarco;HRC_DOP;Huarco
CNC;Canchi;CNC_DOP;Canchijs
UMA;Umasuyus;UMA_DOP;Umasuyus
WAN;Wanka;WAN_DOP;Wanka
BBA;Baba;BBA_DOP;Babas
HNK;Hanan Chanka;HNK_DOP;Hanan Chanka
URC;Urin Chanka;URC_DOP;Urin Chanka
CIC;Chincha;CIC_DOP;Chinchy
CSU;Qusqu;CSU_DOP;Qusqu
INC;Inca;INC_DOP;Inków
PIG;Pinagua;PIG_DOP;Pinagua
AYA;Ayarmaca;AYA_DOP;Ayarmaca
PCJ;Paka Jaqis;PCJ_DOP;Paka Jaqis
LUP;Lupaka;LUP_DOP;Lupaki
OMG;Humahuaca;OMG_DOP;Humahuaca
CAV;Calva;CAV_DOP;Calva
MLT;Malacato;MLT_DOP;Malacato
GRR;Garrochamba;GRR_DOP;Garrochamba
MNT;Manta;MNT_DOP;Manty
GCV;Huancavelica;GCV_DOP;Huancaveliki
SLL;Shabalula;SLL_DOP;Shabaluli
HKR;Hatun Kañar;HKR_DOP;Hatun Kañar
CAX;Cara;CAX_DOP;Cara
PUU;Puruhá;PUU_DOP;Puruhá
CRA;Charka;CRA_DOP;Charka
KNA;Kana;KNA_DOP;Kana
KRK;Karanka;KRK_DOP;Karanki
QUL;Qulla;QUL_DOP;Qulla
SUR;Sura;SUR_DOP;Sura
PUK;Pukamuru;PUK_DOP;Pukamuru
BAG;Bagua;BAG_DOP;Bagui
HCH;Huamachuco;HCH_DOP;Huamachuco
CUI;Cuismancu;CUI_DOP;Cuismancu
HUA;Huaylas;HUA_DOP;Huaylas

XAU;Xauxa;XAU_DOP;Xauxa
CSA;Casma;CSA_DOP;Casmy
CLQ;Collique;CLQ_DOP;Collique
NTA;Canta;NTA_DOP;Canty
ATV;Atavillos;ATV_DOP;Atavillos
YAW;Yawyu;YAW_DOP;Yawyu
CCY;Chancay;CCY_DOP;Chancay
HPP;Huancapampa;HPP_DOP;Huancapampy
HCR;Huacrachuco;HCR_DOP;Huacrachuco
SRA;Sora;SRA_DOP;Sora
PCR;Pocra;PCR_DOP;Pocra
PCO;Parinacocha;PCO_DOP;Parinacochy
ANI;Aruni;ANI_DOP;Aruni
CHJ;Churajon;CHJ_DOP;Churajon
CBY;Chiribaya;CBY_DOP;Chiribayi
LLG;Collagua;LLG_DOP;Collagua
QQH;Qhara Qhara;QQH_DOP;Qhara Qhara
CCT;Ccantumarcani;CCT_DOP;Ccantumarcanich
TUP;Tupiza;TUP_DOP;Tupizy
MYM;Mayonmarka;MYM_DOP;Mayonmarki
CHW;Chuwi;CHW_DOP;Chuwi
KWY;Kallawaya;KWY_DOP;Kallawayi
KLL;Killaka;KLL_DOP;Killaki
KKE;Killke;KKE_DOP;Killke
CNO;Chono;CNO_DOP;Chono
BAU;Bauré;BAU_DOP;Bauré
ALC;Allentiac;ALC_DOP;Allentiac
MYC;Millcayac;MYC_DOP;Millcayac
PHE;Picunche;PHE_DOP;Picunche
CPU;Cuquimpu;CPU_DOP;Cuquimpu
CYC;Copayacu;CYC_DOP;Copayacu
CCH;Calchaqui;CCH_DOP;Calchaqui
QIM;Quimes;QIM_DOP;Quimes
QTR;Quitor;QTR_DOP;Quitor
KUI;Kuikuro;KUI_DOP;Kuikuro
MRJ;Marajoara;MRJ_DOP;Marajoara
TPA;Tupinamba;TPA_DOP;Tupinamby
TPQ;Tupiniquim;TPQ_DOP;Tupiniquim
CRJ;Carijó;CRJ_DOP;Carijó
NDV;Ñandeva;NDV_DOP;Ñandeva
KIO;Kaiowá;KIO_DOP;Kaiowá
XTA;Xetá;XTA_DOP;Xetá
AVA;Ava;AVA_DOP;Ava
